caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
2001/11/08,0.002338,0.002285,-0.002556,-0.002624,10050316400.00,500,10027388900.00,500,1118.54,0.002456
2001/11/09,0.001478,0.001463,0.002004,0.001962,10065023700.00,500,10050316400.00,500,1120.31,0.001582
2001/11/12,-0.001631,-0.001631,-0.000488,-0.000488,10048609700.00,500,10065023700.00,500,1118.33,-0.001767
2001/11/13,0.018696,0.018544,0.020565,0.020437,10234950900.00,500,10048609700.00,500,1139.09,0.018563
2001/11/14,0.002472,0.002234,0.005921,0.005753,10257813000.00,500,10234950900.00,500,1141.21,0.001861
2001/11/15,0.001131,0.001126,0.000016,-0.000025,10269363100.00,500,10257813000.00,500,1142.24,0.000903
2001/11/16,-0.003265,-0.003348,0.002021,0.001975,10234508700.00,500,10269363100.00,500,1138.65,-0.003143
2001/11/19,0.010845,0.010835,0.012196,0.012142,10345395100.00,500,10234508700.00,500,1151.06,0.010899
2001/11/20,-0.007236,-0.007278,-0.008328,-0.008378,10270100700.00,500,10345395100.00,500,1142.66,-0.007298
2001/11/21,-0.004852,-0.004880,-0.005585,-0.005686,10219981800.00,500,10270100700.00,500,1137.03,-0.004927
2001/11/23,0.011676,0.011663,0.014057,0.014031,10340926100.00,500,10219981800.00,500,1150.34,0.011706
2001/11/26,0.006317,0.006312,0.007471,0.007463,10406201400.00,500,10340926100.00,500,1157.42,0.006155
2001/11/27,-0.006856,-0.006868,-0.003924,-0.003949,10334729300.00,500,10406201400.00,500,1149.50,-0.006843
2001/11/28,-0.018019,-0.018200,-0.018541,-0.018794,10146643300.00,500,10334729300.00,500,1128.52,-0.018251
2001/11/29,0.010498,0.010403,0.009165,0.008964,10252197500.00,500,10146643300.00,500,1140.20,0.010350
2001/11/30,-0.000663,-0.000663,0.001620,0.001620,10243197700.00,500,10259678200.00,500,1139.45,-0.000658
2001/12/03,-0.008463,-0.008468,-0.008174,-0.008198,10163377500.00,500,10250379700.00,500,1129.90,-0.008381
2001/12/04,0.013202,0.013202,0.019574,0.019574,10297675200.00,500,10163377500.00,500,1144.80,0.013187
2001/12/05,0.022692,0.022347,0.027741,0.027503,10527800600.00,500,10297675200.00,500,1170.35,0.022318
2001/12/06,-0.002598,-0.002634,0.000118,0.000009,10500067700.00,500,10527800600.00,500,1167.10,-0.002777
2001/12/07,-0.007555,-0.007556,-0.007970,-0.007971,10425630100.00,500,10500067700.00,500,1158.31,-0.007531
2001/12/10,-0.015739,-0.015755,-0.015198,-0.015230,10261383600.00,500,10425630100.00,500,1139.93,-0.015868
2001/12/11,-0.002868,-0.002869,-0.000903,-0.000904,10231948400.00,500,10261383600.00,500,1136.76,-0.002781
2001/12/12,0.000496,0.000338,-0.001001,-0.001294,10235405300.00,500,10231948400.00,500,1137.07,0.000273
2001/12/13,-0.015540,-0.015577,-0.014946,-0.015033,10065852100.00,499,10225005700.00,499,1119.38,-0.015558
2001/12/14,0.003273,0.003271,0.001255,0.001248,10111080100.00,500,10078110200.00,500,1123.09,0.003314
