tickers,Symbol,MarketCap,Sector,Industry
IT,IT,13174063016.92,Consumer Services,Other Consumer Services
ITT,ITT,5132484000.0,Capital Goods,Fluid Controls
ITW,ITW,47382131589.03,Technology,Industrial Machinery/Components
IVZ,IVZ,7744219272.43,Finance,Investment Managers
JBGS,JBGS,4881430149.53,Consumer Services,Real Estate Investment Trusts
JBHT,JBHT,11655993420.0,Transportation,Trucking Freight/Courier Services
JBL,JBL,4421758358.24,Technology,Electrical Products
JCI,JCI,32106755292.47,Consumer Services,Other Consumer Services
JCP,JCP,485714178.18,Consumer Services,Department/Specialty Retail Stores
JEC,JEC,10325642290.53,Basic Industries,Military/Government/Technical
JEF,JEF,6212085434.1,Consumer Non-Durables,Meat/Poultry/Fish
JKHY,JKHY,10323143487.36,Technology,EDP Services
JNJ,JNJ,368445222404.65,Health Care,Major Pharmaceuticals
JNPR,JNPR,9352380000.0,Technology,Computer Communications Equipment
JPM,JPM,341929063446.18,Finance,Major Banks
JWN,JWN,7827410357.92,Consumer Services,Clothing/Shoe/Accessory Stores
K,K,19552960000.0,Consumer Non-Durables,Packaged Foods
KBH,KBH,1974071110.32,Capital Goods,Homebuilding
KDP,KDP,37075136436.0,Consumer Non-Durables,Beverages (Production/Distribution)
KEY,KEY,17851497530.0,Finance,Major Banks
KEYS,KEYS,16127413612.5,Capital Goods,Industrial Machinery/Components
KHC,KHC,39509687908.8,Consumer Non-Durables,Packaged Foods
KIM,KIM,7302618894.76,Consumer Services,Real Estate Investment Trusts
KLAC,KLAC,18949016530.64,Capital Goods,Electronic Components
KMB,KMB,39843850958.4,Consumer Durables,Containers/Packaging
KMI,KMI,44684577711.06,Public Utilities,Natural Gas Distribution
KMX,KMX,10485871811.1,Consumer Durables,Automotive Aftermarket
KO,KO,194014930606.78,Consumer Non-Durables,Beverages (Production/Distribution)
KODK,KODK,132879887.72,Miscellaneous,Industrial Machinery/Components
KR,KR,22352759840.7,Consumer Services,Food Chains
KSS,KSS,11245310165.1,Consumer Services,Department/Specialty Retail Stores
KSU,KSU,10907744433.3,Transportation,Railroads
L,L,14906480000.0,Finance,Property-Casualty Insurers
LB,LB,7565937307.5,Consumer Services,Clothing/Shoe/Accessory Stores
LDOS,LDOS,9497534567.22,Technology,EDP Services
LEG,LEG,6000390000.0,Consumer Durables,Home Furnishings
LEN,LEN,15247025967.19,Basic Industries,Homebuilding
LH,LH,15006857000.0,Health Care,Medical Specialities
LIN,LIN,93980865273.68,Basic Industries,Major Chemicals
LKQ,LKQ,8852397834.28,Consumer Services,Motor Vehicles
LLL,LLL,16809421787.55,Technology,Radio And Television Broadcasting And Communications Equipment
LLY,LLY,133403327528.08,Health Care,Major Pharmaceuticals
LM,LM,2479806571.32,Finance,Investment Managers
LMT,LMT,87444627396.98,Capital Goods,Military/Government/Technical
LNC,LNC,12848037836.68,Finance,Life Insurance
LNT,LNT,10827958717.62,Public Utilities,Power Generation
LOW,LOW,83475410447.72,Consumer Services,RETAIL: Building Materials
LPX,LPX,3448464472.89,Basic Industries,Forest Products
LRCX,LRCX,26970892994.5,Technology,Industrial Machinery/Components
LUV,LUV,30033112054.66,Transportation,Air Freight/Delivery Services
LW,LW,10393610450.85,Consumer Non-Durables,Packaged Foods
LYB,LYB,31566902679.9,Basic Industries,Major Chemicals
M,M,7529872707.6,Consumer Services,Department/Specialty Retail Stores
MA,MA,251993911725.0,Miscellaneous,Business Services
MAA,MAA,11741887854.0,Consumer Services,Real Estate Investment Trusts
MAC,MAC,6065472530.4,Consumer Services,Real Estate Investment Trusts
MAR,MAR,42453665835.0,Consumer Services,Hotels/Resorts
MAS,MAS,11779700000.0,Basic Industries,Forest Products
MAT,MAT,5139295218.43,Consumer Non-Durables,Recreational Products/Toys
MBI,MBI,962222268.69,Finance,Property-Casualty Insurers
MCD,MCD,142656941762.5,Consumer Services,Restaurants
MCHP,MCHP,21004927993.92,Technology,Semiconductors
MCK,MCK,23888001122.16,Health Care,Other Pharmaceuticals
MCO,MCO,33605671000.0,Finance,Finance: Consumer Services
MDLZ,MDLZ,68208123076.27,Consumer Non-Durables,Packaged Foods
MDP,MDP,2644699799.83,Consumer Services,Newspapers/Magazines
MDR,MDR,1647056843.8,Capital Goods,Metal Fabrications
MDT,MDT,123455169679.21,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MET,MET,43664230000.0,Finance,Life Insurance
MGM,MGM,14476666532.12,Consumer Services,Hotels/Resorts
MHK,MHK,10200870958.6,Consumer Durables,Home Furnishings
MKC,MKC,18065988761.31,Consumer Non-Durables,Packaged Foods
MLM,MLM,12028750000.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MMC,MMC,46919573152.2,Finance,Specialty Insurers
MMM,MMM,119472742000.0,Health Care,Medical/Dental Instruments
MNK,MNK,2075332808.4,Health Care,Major Pharmaceuticals
MNST,MNST,35798855759.94,Consumer Non-Durables,Beverages (Production/Distribution)
MO,MO,98856538136.25,Consumer Non-Durables,Farming/Seeds/Milling
MOS,MOS,11949572635.0,Basic Industries,Agricultural Chemicals
MPC,MPC,42622400000.0,Energy,Integrated oil Companies
MRK,MRK,212320741225.0,Health Care,Major Pharmaceuticals
